Gunung,M1,M2,M3,Min,Best Method,Max,Worst Method,Average
Agung,0.46,0.31,0.31,0.31,Metode 2,0.46,Metode 1,0.36
Ambang,0.64,0.45,0.79,0.45,Metode 2,0.79,Metode 3,0.63
Anak Krakatau,0.17,0.4,0.27,0.17,Metode 1,0.4,Metode 2,0.28
Anak Ranakah,1.1,0.29,0.45,0.29,Metode 2,1.1,Metode 1,0.61
Arjuno Welirang,2.39,3.48,2.39,2.39,Metode 1,3.48,Metode 2,2.75
Awu,0.28,0.36,0.41,0.28,Metode 1,0.41,Metode 3,0.35
Banda Api,0.37,1.03,0.09,0.09,Metode 3,1.03,Metode 2,0.50
Batur,0.91,0.73,1.24,0.73,Metode 2,1.24,Metode 3,0.96
Batutara,0.21,0.68,0.39,0.21,Metode 1,0.68,Metode 2,0.43
Bromo,0.2,0.53,0.8,0.2,Metode 1,0.8,Metode 3,0.51
Bur Ni Telong,0.14,0.16,0.16,0.14,Metode 1,0.16,Metode 2,0.15
Ciremai,2.6,6.18,1.18,1.18,Metode 3,6.18,Metode 2,3.32
Colo,0.26,2.08,0.37,0.26,Metode 1,2.08,Metode 2,0.90
Dempo,1.1,0.21,0.21,0.21,Metode 2,1.1,Metode 1,0.51
Dieng,3.81,4.02,4.31,3.81,Metode 1,4.31,Metode 3,4.05
Dukono,0.04,0.03,0.03,0.03,Metode 2,0.04,Metode 1,0.03
Ebulobo,0.14,0.14,0.14,0.14,Metode 1,0.14,Metode 1,0.14
Egon,0.19,0.19,0.57,0.19,Metode 1,0.57,Metode 3,0.32
Galunggung,1.83,0.71,2.96,0.71,Metode 2,2.96,Metode 3,1.83
Gamalama,0.33,0.33,0.21,0.21,Metode 3,0.33,Metode 1,0.29
Gamkonora,0.56,0.57,0.49,0.49,Metode 3,0.57,Metode 2,0.54
Gede,3.67,6.27,2.58,2.58,Metode 3,6.27,Metode 2,4.17
Guntur,1.02,1,2.28,1,Metode 2,2.28,Metode 3,1.43
Ibu,0.1,0.1,0.1,0.1,Metode 1,0.1,Metode 1,0.10
Ijen,1.91,2.94,1.24,1.24,Metode 3,2.94,Metode 2,2.03
Ile Werung,0.67,0.88,0.5,0.5,Metode 3,0.88,Metode 2,0.68
Ili Boleng,1.04,0.15,0.7,0.15,Metode 2,1.04,Metode 1,0.63
Ili Lewotolok,0.62,0.11,0.11,0.11,Metode 2,0.62,Metode 1,0.28
Inielika,1.07,3.61,0.67,0.67,Metode 3,3.61,Metode 2,1.78
Inierie,0.42,0.55,0.5,0.42,Metode 1,0.55,Metode 2,0.49
Iya,0.65,0.84,0.62,0.62,Metode 3,0.84,Metode 2,0.70
Kaba,1.65,0.44,1.05,0.44,Metode 2,1.65,Metode 1,1.05
Karangetang,0.5,0.52,0.86,0.5,Metode 1,0.86,Metode 3,0.63
Kelimutu,1.32,0.15,0.46,0.15,Metode 2,1.32,Metode 1,0.64
Kelud,0.54,1.12,1.19,0.54,Metode 1,1.19,Metode 3,0.95
Kerinci,0.25,0.24,1.08,0.24,Metode 2,1.08,Metode 3,0.52
Kie Besi,0.26,0.33,0.26,0.26,Metode 1,0.33,Metode 2,0.28
Lamongan,1.18,1.32,0.65,0.65,Metode 3,1.32,Metode 2,1.05
Lereboleng,0.12,0.84,0.51,0.12,Metode 1,0.84,Metode 2,0.49
Lewotobi Laki-laki,0.19,0.19,0.19,0.19,Metode 1,0.19,Metode 1,0.19
Lewotobi Perempuan,0.5,0.46,0.75,0.46,Metode 2,0.75,Metode 3,0.57
Lokon,0.28,0.28,0.41,0.28,Metode 1,0.41,Metode 3,0.32
Mahawu,0.7,0.02,0.3,0.02,Metode 2,0.7,Metode 1,0.34
Marapi,0.02,1.09,1.01,0.02,Metode 1,1.09,Metode 2,0.71
Merapi,0.5,0.8,1.06,0.5,Metode 1,1.06,Metode 3,0.79
Papandayan,0.87,0.95,0.8,0.8,Metode 3,0.95,Metode 2,0.87
Peut Sague,0.73,3.24,0.41,0.41,Metode 3,3.24,Metode 2,1.46
Raung,0.68,0.65,0.65,0.65,Metode 2,0.68,Metode 1,0.66
Rinjani,2.61,0.63,5.47,0.63,Metode 2,5.47,Metode 3,2.90
Rokatenda,1,4.4,0.53,0.53,Metode 3,4.4,Metode 2,1.98
Ruang,0.36,0.51,0.36,0.36,Metode 1,0.51,Metode 2,0.41
Salak,0.69,1.98,0.79,0.69,Metode 1,1.98,Metode 2,1.15
Sangeangapi,0.79,0.99,1.03,0.79,Metode 1,1.03,Metode 3,0.94
Semeru,0.38,0.39,0.39,0.38,Metode 1,0.39,Metode 2,0.39
Seulawah Agam,1.03,0.15,0.58,0.15,Metode 2,1.03,Metode 1,0.59
Sinabung,2.13,2.26,1.09,1.09,Metode 3,2.26,Metode 2,1.83
Sirung,0.61,0.53,1.31,0.53,Metode 2,1.31,Metode 3,0.82
Slamet,0.7,0.21,0.21,0.21,Metode 2,0.7,Metode 1,0.37
Soputan,0.4,0.43,0.43,0.4,Metode 1,0.43,Metode 2,0.42
Sorikmarapi,0.26,0.12,0.92,0.12,Metode 2,0.92,Metode 3,0.43
Sumbing,0.62,0.33,0.33,0.33,Metode 2,0.62,Metode 1,0.43
Sundoro,0.87,0.26,0.26,0.26,Metode 2,0.87,Metode 1,0.46
Talang,0.26,0.23,0.84,0.23,Metode 2,0.84,Metode 3,0.44
Tambora,2.47,2.64,2.91,2.47,Metode 1,2.91,Metode 3,2.67
Tandikat,1.38,2.28,1.91,1.38,Metode 1,2.28,Metode 2,1.86
Tangkoko,0.32,0.43,0.09,0.09,Metode 3,0.43,Metode 2,0.28
Tangkuban Parahu,5.8,8.8,2.07,2.07,Metode 3,8.8,Metode 2,5.56
Wurlali,0.12,0.1,0.31,0.1,Metode 2,0.31,Metode 3,0.18